PART_NO,ITEM_DESC,DEPT_CNTL,MSTR_NO,VOLUME,SURF_A,x_cog,y_cog,z_cog,PC1,PC2,Distance
008 820 14 26,"ECU-ASSY,BKT,APP PLTFRM GE USA",V,3ZN03,25287.5,27705.2,-0.542724,-6026.11,0.186156,-0.5849421513846749,0.03731480603753272,1.0383661413579237
008 820 15 26,"ECU-ASSY,BKT,APP PLTFRM HO USA",V,3ZN03,25287.5,27705.2,-0.542724,-6026.11,0.186156,-0.5849421513846749,0.03731480603753272,1.0383661413579237
008 820 16 26,"ECU-ASSY,BKT,APP PLTFRM IL USA",V,3ZN03,25287.5,27705.2,-0.542724,-6026.11,0.186156,-0.5849421513846749,0.03731480603753272,1.0383661413579237
008 820 21 26,"ECU-ASSY,BKT,APP PLTFRM HO AUS",V,3ZN03,25287.5,27705.2,-0.542724,-6026.11,0.186156,-0.5849421513846749,0.03731480603753272,1.0383661413579237
008 820 22 26,"ECU-ASSY,BKT,APP PLTFRM IL AUS",V,3ZN03,25287.5,27705.2,-0.542724,-6026.11,0.186156,-0.5849421513846749,0.03731480603753272,1.0383661413579237
01-25852-010,BRKT-AIR COMP INT & DISC,R,10707,32344.0,22145.0,8793.61,12744.4,73374.0,-0.1882591185109574,0.4727650933736263,1.2929742518517442
01-25887-010,"BRKT-DIPSTICK,L9,108SD",R,10516,16288.8,11275.0,-1018760.0,-349125.0,386714.0,-0.3849347290576708,0.6755761876851027,1.5339701212393677
01-26318-000,"BRKT-ENGINE LEG,RR,3126,LH",R,10905,235032.0,49072.4,1385540.0,-288178.0,21975.3,0.007946269083545985,0.8650785351480675,1.66751853755889
01-26318-001,"BRKT-ENGINE LEG,RR,3126,RH",R,10905,235032.0,49071.8,1385540.0,288178.0,21974.8,0.043188226008054775,0.4739441013754722,1.2764035190924108
01-26318-004,"BRKT-ENGINE LEG,RR,ISC,LH",R,10905,237583.0,49059.8,1385490.0,-287958.0,21849.4,0.010008445376605533,0.8646204824952508,1.6670395262291768
01-26318-005,"BRKT-ENGINE LEG,RR,ISC,RH",R,10905,237583.0,49059.3,1385480.0,287957.0,21849.0,0.04522377393655408,0.4737814669350517,1.2762700297844682
01-26490-000,"BRKT,ENG SUPT,RR,M2,3/5 DEG",R,10901,379386.0,85733.8,49805.7,40117.0,-29265.5,0.34362391094431444,0.22872076369157787,1.0788949006329895
01-26490-004,"BRKT,ENG SUPT,RR,M2,3/5 DEG",R,10901,360933.0,82061.1,49858.2,42007.5,-28853.8,0.3151688363541453,0.22900903974502942,1.0711391626454823
01-26838-000,"BRKT,RR ENG SUP,MB906,M2,LH",R,10905,553436.0,82336.7,1434660.0,-316316.0,2282.05,0.3918542925277043,0.8597331802822376,1.701878036661339
01-26838-001,"BRKT,RR ENG SUP,MB906,M2,RH",R,10905,553436.0,82336.7,1434660.0,-316316.0,2282.05,0.3918542925277043,0.8597331802822376,1.701878036661339
01-26859-000,"BRKT,RR ENG SUP,MB904,M2,LH",R,10905,429633.0,66119.1,62596.1,-19937.6,24641.1,0.2433857966882062,0.1488144233729747,0.9756957247831385
01-26859-001,"BRKT,RR ENG SUP,MB904,M2,RH",R,10905,429634.0,66119.1,62595.6,19937.5,24640.9,0.2458250163420672,0.1217533561977054,0.9498960583165713
01-27634-000,"BRKT-SUPT,ENG,ISB02,4DEG",W,10909,220643.0,38039.7,-0.0681254,-25877.8,1212.39,-0.28299146142759746,0.16531828036508847,1.0157794575503247
