PART_NO,ITEM_DESC,VOLUME,SURF_A,PC1,PC2,Distance
008 820 14 26,"ECU-ASSY,BKT,APP PLTFRM GE USA",25287.5,27705.2,-0.5311202966699493,0.04093002708318384,0.7961349317282046
008 820 15 26,"ECU-ASSY,BKT,APP PLTFRM HO USA",25287.5,27705.2,-0.5311202966699493,0.04093002708318384,0.7961349317282046
008 820 16 26,"ECU-ASSY,BKT,APP PLTFRM IL USA",25287.5,27705.2,-0.5311202966699493,0.04093002708318384,0.7961349317282046
008 820 21 26,"ECU-ASSY,BKT,APP PLTFRM HO AUS",25287.5,27705.2,-0.5311202966699493,0.04093002708318384,0.7961349317282046
008 820 22 26,"ECU-ASSY,BKT,APP PLTFRM IL AUS",25287.5,27705.2,-0.5311202966699493,0.04093002708318384,0.7961349317282046
01-25852-010,BRKT-AIR COMP INT & DISC,32344.0,22145.0,-0.5466742034550004,0.06825585966553091,0.815960160670526
01-25887-010,"BRKT-DIPSTICK,L9,108SD",16288.8,11275.0,-0.6019803645173896,0.09677811609237182,0.8756642313522786
01-26318-000,"BRKT-ENGINE LEG,RR,3126,LH",235032.0,49072.4,-0.27377744119788533,0.13349104610852486,0.5704322952660541
01-26318-001,"BRKT-ENGINE LEG,RR,3126,RH",235032.0,49071.8,-0.27377975476966515,0.1334933596803047,0.5704353009256379
01-26318-004,"BRKT-ENGINE LEG,RR,ISC,LH",237583.0,49059.8,-0.2716981878499226,0.1356674694712405,0.569313273663468
01-26318-005,"BRKT-ENGINE LEG,RR,ISC,RH",237583.0,49059.3,-0.2717001158264058,0.13566939744772372,0.5693157836318065
01-26490-000,"BRKT,ENG SUPT,RR,M2,3/5 DEG",379386.0,85733.8,-0.012004348493274962,0.11253487064941274,0.3287484699375126
01-26490-004,"BRKT,ENG SUPT,RR,M2,3/5 DEG",360933.0,82061.1,-0.04155811054801034,0.11130462551396857,0.3526064173849821
01-26838-000,"BRKT,RR ENG SUP,MB906,M2,LH",553436.0,82336.7,0.12007505928508001,0.2708123940719871,0.374103534769817
01-26838-001,"BRKT,RR ENG SUP,MB906,M2,RH",553436.0,82336.7,0.12007505928508001,0.2708123940719871,0.374103534769817
01-26859-000,"BRKT,RR ENG SUP,MB904,M2,LH",429633.0,66119.1,-0.04572571626153665,0.23008022418069135,0.43107951211392814
01-26859-001,"BRKT,RR ENG SUP,MB904,M2,RH",429634.0,66119.1,-0.045724882142228404,0.2300810582999996,0.43107952352640205
01-27634-000,"BRKT-SUPT,ENG,ISB02,4DEG",220643.0,38039.7,-0.32832115621650365,0.16403047567439874,0.632459225066035
01-27765-000,"TENSIONER BRKT,FAN DR,MBE 4000",166139.0,45694.6,-0.34426706063083373,0.08905070253529325,0.6231166309430898
01-29505-000,BRKT-WATER FILTER,111181.0,40610.7,-0.4097118688593053,0.06281245287844059,0.6805016793177459
01-29561-000,"BRKT,COOLANT FLTR,ISC,M2",326277.0,111510.0,0.04308822401716954,-0.031156186544456958,0.21806174945761883
01-29561-001,"BRKT,COOLANT FLTR,ISC,2007",308014.0,105501.0,0.0046842817156336975,-0.023219286095966653,0.2572751967419409
01-30175-000,"BRKT-FRAME,REAR,MTG,ENGINE",466398.0,93819.1,0.09175057727507037,0.1539367233795177,0.28401416646000616
01-30234-001,"BRKT-ENGINE HEATER,OPP",702639.0,236312.0,0.838249677218685,-0.19845601756473585,0.594517452868223
01-30462-000,"BRKT-MTG,ENG XMBR,LH",431492.0,145969.0,0.26372237030311546,-0.07626660679589677,0.007720952490852264
01-30462-001,"BRKT-MTG,ENG XMBR,RH",431492.0,145969.0,0.26372237030311546,-0.07626660679589677,0.007720952490852264
